timestamp,model_name,batch_size,num_epochs,T,learning_rate,ot_loss_weight,n_shot,target_class,fid,kid,psnr,psnr_std,ssim,ssim_std,diversity,diversity_std,collapse_ratio,collapse_std,sharpness,sharpness_std,total_training_time,device
2025-10-01 19:02:31,Sinkhorn模型,18,50,200,0.001,0.5,50,9,21.20727157592773,0.6493840217590332,15.299965143203735,0.1831484018052387,-0.003146342394757,0.0137187579565748,8.788548469543457,0.2158041894435882,1.681382656097412,0.0285190567374229,0,0,0.00秒,cpu
2025-10-01 19:02:31,基线模型,18,50,200,0.001,0.5,50,9,20.70051383972168,0.7201690673828125,15.330572783946993,0.2229601342043509,0.0025640503681643,0.0179164062910081,9.474069595336914,0.3224466145038605,1.5588338375091553,0.0541285201907157,0,0,0.00秒,cpu
2025-10-01 19:05:53,Sinkhorn模型,20,50,200,0.001,0.5,500,1,6.59037971496582,0.3660381436347961,21.201067686080933,0.8370933743472097,0.0291177045583026,0.0269831411336636,4.5839009284973145,0.4726594090461731,1.6167933940887451,0.1246706768870353,0,0,0.00秒,cpu
2025-10-01 19:05:53,基线模型,20,50,200,0.001,0.5,500,1,4.924320697784424,0.3199418485164642,19.50702953338623,1.1836989248851768,0.0244930575718171,0.0459766871573717,8.103493690490723,0.8208950161933899,1.208095908164978,0.156143456697464,0,0,0.00秒,cpu
2025-10-01 19:07:34,Sinkhorn模型,20,50,200,0.001,0.5,500,6,1.9805697202682493,0.306793063879013,20.1718944311142,0.7561498016463748,0.0716853535268455,0.0254674241625918,5.468498706817627,0.4687781929969787,1.4230337142944336,0.1000638231635093,0,0,0.00秒,cpu
2025-10-01 19:07:34,基线模型,20,50,200,0.001,0.5,500,6,4.516581535339356,0.3633483946323395,19.32137191295624,0.497921552607116,0.0395009728963486,0.0256645393417496,6.170503616333008,0.2975314855575561,1.430898904800415,0.0652486905455589,0,0,0.00秒,cpu
2025-10-01 19:11:18,Sinkhorn模型,18,50,200,0.001,0.5,50,8,19.553390502929688,0.6110309362411499,15.000682711601256,0.142544069667677,-0.0031185273837763,0.0224692316856902,9.412572860717772,0.2878517806529999,1.6270053386688232,0.0427862368524074,0,0,0.00秒,cpu
2025-10-01 19:11:18,基线模型,18,50,200,0.001,0.5,50,8,16.42333984375,0.6142034530639648,15.209026336669922,0.2758633755661258,0.0043521732950466,0.0273294804488484,9.2296724319458,0.2759388089179992,1.6273109912872314,0.0383752882480621,0,0,0.00秒,cpu
2025-10-01 19:12:09,Sinkhorn模型,18,50,200,0.001,0.1,50,8,19.910659790039062,0.6097986698150635,15.097100794315338,0.2618885727795198,0.0055990353721426,0.0257085967982538,8.738024711608887,0.2310785502195358,1.7264208793640137,0.0626758113503456,0,0,0.00秒,cpu
2025-10-01 19:12:09,基线模型,18,50,200,0.001,0.1,50,8,19.790037155151367,0.639632523059845,15.005159378051758,0.1831991615410002,0.0055563842906849,0.0273203288141137,9.333579063415527,0.2666557133197784,1.63614022731781,0.042945884168148,0,0,0.00秒,cpu
